Navigational position (  -10.1539249508,   -8.33291876224,   -126.610804291)
Navigational position (  -9.07861404027,    -11.763183432,   -127.272156932)
Navigational position (  -12.2358307737,    -20.339256839,   -126.139127931)
Navigational position (  -44.6013904219,   -61.4046169908,   -112.492164397)
Navigational position (  -2.09142497927,   -23.6926529323,   -131.120200342)
Navigational position (  -4.02158297416,     -14.46199694,   -129.799791122)
